,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
27,-10.0,-9.0,-7.0,-6.0,-6.0,-7.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,-10.0,-9.0,-7.0,-6.0,-6.0,-7.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,-10.0,-9.0,-7.0,-6.0,-6.0,-7.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0
28,1.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,5.0,7.0,7.0,8.0,7.0,9.0,1.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,5.0,7.0,7.0,8.0,7.0,9.0,1.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,5.0,7.0,7.0,8.0,7.0,9.0,0
29,5.0,7.0,7.0,7.0,5.0,7.0,7.0,8.0,7.0,9.0,8.0,8.0,10.0,7.0,8.0,7.0,8.0,8.0,9.0,8.0,5.0,7.0,7.0,7.0,5.0,7.0,7.0,8.0,7.0,9.0,8.0,8.0,10.0,7.0,8.0,7.0,8.0,8.0,9.0,8.0,5.0,7.0,7.0,7.0,5.0,7.0,7.0,8.0,7.0,9.0,8.0,8.0,10.0,7.0,8.0,7.0,8.0,8.0,9.0,8.0,0
30,8.0,8.0,10.0,7.0,8.0,7.0,8.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,8.0,8.0,7.0,7.0,6.0,7.0,8.0,8.0,10.0,7.0,8.0,7.0,8.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,8.0,8.0,7.0,7.0,6.0,7.0,8.0,8.0,10.0,7.0,8.0,7.0,8.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,8.0,8.0,7.0,7.0,6.0,7.0,0
31,9.0,10.0,8.0,9.0,8.0,8.0,7.0,7.0,6.0,7.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,7.0,9.0,10.0,8.0,9.0,8.0,8.0,7.0,7.0,6.0,7.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,7.0,9.0,10.0,8.0,9.0,8.0,8.0,7.0,7.0,6.0,7.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,7.0,0
32,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,7.0,1.0,-2.0,0.0,3.0,0.0,1.0,-11.0,1.0,1.0,-5.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,7.0,1.0,-2.0,0.0,3.0,0.0,1.0,-11.0,1.0,1.0,-5.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,7.0,1.0,-2.0,0.0,3.0,0.0,1.0,-11.0,1.0,1.0,-5.0,0
33,1.0,-2.0,0.0,3.0,0.0,1.0,-11.0,1.0,1.0,-5.0,-1.0,0.0,2.0,3.0,1.0,-2.0,-3.0,3.0,-2.0,3.0,1.0,-2.0,0.0,3.0,0.0,1.0,-11.0,1.0,1.0,-5.0,-1.0,0.0,2.0,3.0,1.0,-2.0,-3.0,3.0,-2.0,3.0,1.0,-2.0,0.0,3.0,0.0,1.0,-11.0,1.0,1.0,-5.0,-1.0,0.0,2.0,3.0,1.0,-2.0,-3.0,3.0,-2.0,3.0,0
34,-1.0,0.0,2.0,3.0,1.0,-2.0,-3.0,3.0,-2.0,3.0,3.0,5.0,4.0,5.0,8.0,11.0,29.0,17.0,25.0,21.0,-1.0,0.0,2.0,3.0,1.0,-2.0,-3.0,3.0,-2.0,3.0,3.0,5.0,4.0,5.0,8.0,11.0,29.0,17.0,25.0,21.0,-1.0,0.0,2.0,3.0,1.0,-2.0,-3.0,3.0,-2.0,3.0,3.0,5.0,4.0,5.0,8.0,11.0,29.0,17.0,25.0,21.0,0
35,3.0,5.0,4.0,5.0,8.0,11.0,29.0,17.0,25.0,21.0,22.0,29.0,33.0,23.0,16.0,15.0,12.0,9.0,10.0,14.0,3.0,5.0,4.0,5.0,8.0,11.0,29.0,17.0,25.0,21.0,22.0,29.0,33.0,23.0,16.0,15.0,12.0,9.0,10.0,14.0,3.0,5.0,4.0,5.0,8.0,11.0,29.0,17.0,25.0,21.0,22.0,29.0,33.0,23.0,16.0,15.0,12.0,9.0,10.0,14.0,0
36,22.0,29.0,33.0,23.0,16.0,15.0,12.0,9.0,10.0,14.0,9.0,13.0,-6.0,6.0,-1.0,0.0,5.0,6.0,3.0,-3.0,22.0,29.0,33.0,23.0,16.0,15.0,12.0,9.0,10.0,14.0,9.0,13.0,-6.0,6.0,-1.0,0.0,5.0,6.0,3.0,-3.0,22.0,29.0,33.0,23.0,16.0,15.0,12.0,9.0,10.0,14.0,9.0,13.0,-6.0,6.0,-1.0,0.0,5.0,6.0,3.0,-3.0,0
