time,x,y,z
28.2,74,28,43
28.3,75,27,40
28.4,79,28,42
28.5,81,30,45
28.6,76,16,40
28.7,79,26,37
28.8,69,36,34
28.9,69,29,37
29,78,32,44
29.1,73,33,45
29.2,71,38,41
29.3,72,37,40
29.4,77,35,44
29.5,61,50,37
29.6,64,55,38
29.7,58,63,46
29.8,54,58,43
29.9,47,60,44
30,45,63,39
30.1,54,65,45
30.2,47,65,44
30.3,47,64,39
30.4,47,64,41
30.5,45,67,38
30.6,44,66,44
30.7,46,64,42
30.8,42,64,44
30.9,46,65,45
31,43,65,44
31.1,44,65,47
31.2,45,64,41
31.3,44,66,45
31.4,44,65,45
31.5,42,67,43
31.6,42,68,42
31.7,41,66,43
31.8,40,68,44
31.9,39,67,44
32,40,67,47
32.1,38,66,47
32.2,37,66,47
32.3,38,66,47
32.4,39,66,47
32.5,40,63,48
32.6,42,64,48
32.7,44,63,50
32.8,54,55,40
32.9,51,60,45
33,51,57,31
33.1,61,39,24
33.2,99,31,9
33.3,62,42,-27
33.4,36,-35,-96
33.5,19,-76,-134
33.6,12,-17,-55
33.7,45,-9,-62
33.8,51,-20,-90
33.9,38,-22,-75
34,42,-27,-69
34.1,40,-20,-87
34.2,34,-17,-81
34.3,32,-20,-81
34.4,37,-27,-80
34.5,43,-26,-75
34.6,43,-18,-80
34.7,37,-21,-74
34.8,43,-19,-81
34.9,-10,-16,-90
35,4,-24,-64
35.1,26,1,-103
35.2,13,-1,-99
35.3,5,-5,-78
35.4,-6,-10,-88
35.5,-9,1,-97
35.6,-6,2,-89
35.7,-20,5,-70
35.8,-38,26,-80
35.9,-15,6,-88
36,1,-6,-103
36.1,-8,-2,-86
36.2,-6,8,-86
36.3,-10,26,-96
36.4,-9,5,-88
36.5,-15,5,-87
36.6,-11,5,-90
36.7,-10,6,-89
36.8,-10,3,-90
36.9,-8,5,-91
37,-11,1,-87
37.1,-9,5,-94
37.2,-1,2,-90
37.3,-6,-2,-88
37.4,-12,5,-90
37.5,-6,3,-87
37.6,-10,2,-89
37.7,-8,5,-90
37.8,-7,3,-88
37.9,-7,12,-97
38,-10,12,-87
38.1,-7,20,-88
38.2,-10,20,-90
38.3,-7,31,-85
38.4,-9,36,-83
38.5,-7,33,-82
38.6,-7,40,-80
38.7,-6,45,-80
38.8,-3,49,-78
38.9,0,52,-75
39,-6,46,-77
39.1,2,48,-74
39.2,3,54,-70
39.3,1,57,-71
39.4,5,54,-69
39.5,7,59,-66
39.6,7,51,-72
39.7,10,55,-68
39.8,18,66,-68
39.9,16,68,-60
40,12,82,-42
40.1,15,80,-38
40.2,9,86,-23
40.3,8,89,-20
40.4,11,88,-12
40.5,13,84,-9
40.6,17,89,-6
40.7,20,84,-4
40.8,24,88,0
40.9,26,85,3
41,23,85,7
41.1,28,86,5
41.2,24,86,8
41.3,22,81,12
41.4,26,87,14
41.5,21,88,16
41.6,17,85,18
41.7,20,88,19
41.8,14,86,23
41.9,13,84,26
42,13,83,29
42.1,10,81,28
42.2,14,87,35
42.3,12,82,34
42.4,10,83,34
42.5,11,83,33
42.6,12,83,36
42.7,15,82,35
42.8,15,82,36
42.9,12,83,34
43,12,82,32
43.1,13,82,32
43.2,14,82,32
43.3,14,82,33
43.4,15,82,35
43.5,15,84,36
43.6,12,84,33
43.7,15,83,31
43.8,15,86,32
43.9,15,85,28
44,15,86,25
44.1,15,87,21
44.2,15,88,16
44.3,16,85,16
44.4,15,88,10
44.5,16,85,5
44.6,16,88,2
44.7,17,90,0
44.8,15,87,0
44.9,16,90,1
45,16,90,1
45.1,18,89,0
45.2,18,88,-2
45.3,17,88,-5
45.4,18,88,-6
45.5,21,88,-6
45.6,20,88,-6
45.7,20,87,-6
45.8,19,89,-6
45.9,19,88,-7
46,20,88,-6
46.1,19,88,-6
46.2,19,88,-6
46.3,20,89,-5
46.4,19,89,-6
46.5,19,88,-6
46.6,19,89,-6
46.7,20,89,-6
46.8,20,88,-6
46.9,20,87,-6
47,20,89,-5
47.1,20,88,-6
47.2,20,88,-5
47.3,21,88,-6
47.4,22,88,-5
47.5,24,88,-7
47.6,22,87,-5
47.7,26,82,1
47.8,35,83,1
47.9,26,86,-14
48,26,74,-19
48.1,12,64,-41
48.2,5,51,-69
48.3,-7,25,-99
48.4,-49,-27,-141
48.5,-10,-80,-70
48.6,11,11,-52
48.7,-17,-3,-107
48.8,-2,0,-86
48.9,-11,3,-81
49,-23,-20,-93
49.1,-7,-1,-88
49.2,-16,-8,-90
49.3,-14,-6,-90
49.4,-14,-7,-90
49.5,-12,-6,-90
49.6,-12,-7,-89
49.7,-12,-6,-90
49.8,-12,-6,-90
49.9,-12,-6,-90
50,-12,-9,-90
50.1,-12,-7,-89
50.2,-13,-7,-90
50.3,-12,-6,-90
50.4,-12,-6,-90
50.5,-13,-6,-90
50.6,-12,-5,-90
50.7,-11,-4,-90
50.8,-12,-4,-90
50.9,-11,-5,-90
51,-11,-4,-90
51.1,-10,-2,-90
51.2,-7,-9,-85
51.3,-15,-13,-91
51.4,-13,5,-96
51.5,-5,13,-92
51.6,-3,6,-90
51.7,1,15,-90
51.8,4,20,-90
51.9,7,23,-90
52,10,24,-90
52.1,7,20,-84
52.2,4,21,-88
52.3,-1,18,-93
52.4,-1,10,-90
52.5,-7,1,-86
52.6,-13,-25,-85
52.7,-1,-35,-83
52.8,-7,-7,-86
52.9,-10,-14,-89
53,-6,-11,-87
53.1,-8,-15,-89
53.2,-7,-13,-88
53.3,-9,-12,-90
53.4,-7,-13,-89
53.5,-7,-9,-88
53.6,-6,-9,-93
